Zip Code,Neighborhood,Latitude,Longitude
1630,Bagumbayan; Pinagsama (including EP Village),14.5176184,121.0486758
1636,Bay Breeze Executive Village,14.5120199,121.0786147
1636,"Maharlika Village, Taguig",14.4981952,121.0511667
1636,"Tanyag, Taguig",14.476468,121.0441205
1631,Bicutan,14.4974668,121.0451425
1632,Hagonoy,14.513818,121.0646124
1632,Lower Bicutan – Ususan,14.490663,121.0543086
1632,"New Lower Bicutan, Taguig",14.5308044,121.0564854
1632,"North Daang Hari, Taguig",14.503826,121.0555145
1632,"San Miguel, Taguig",14.4845655,121.0454939
1632,"Ususan, Taguig",14.5173782,121.0634112
1632,"South Daang Hari, Taguig",14.5308044,121.0564854
1632,"Wawa, Taguig",14.4687858,121.0447415
1632,"Central Bicutan, Taguig",14.5173002,121.0747728
1633,Upper Bicutan,14.4908266,121.0483664
1633,Central Signal Village,14.4974668,121.0451425
1630,"Western Bicutan (including Food Terminal, Inc....",14.5178989,121.0217936
1638,Ligid,14.5420195,121.0788514
1634,"Nichols – McKinley Hill (Fort Bonifacio, Globa...",14.5234714,121.0240953
1638,Tuktukan,14.5307735,121.0673039
1637,Bambang,14.5238844,121.0633788
1637,Calzada,14.5306307,121.0779217
1637,Ibayo-Tipas,14.5361892,121.0800191
1637,Ligid-Tipas,14.5431715,121.0733406
1637,"Napindan, Taguig",14.534647,121.0898021
1637,"Palingon, Taguig",14.5328711,121.0749751
1637,"Santa Ana, Taguig",14.5206093,121.0732814
1637,"Tuktukan, Taguig",14.5307735,121.0673039
1634,Tilapya,14.5307728,121.0541716
1635,"Pinagsama, Taguig",14.5262733,121.0409555
1635,Ususan and Palar Village,14.5308044,121.0564854
